variable,motivo,riesgo
tam_hogar_mod2,redundante_con_tam_hogar,
mieperho,redundante_con_tam_hogar,
percepho,redundante_con_num_perceptores,
sexo_jefe,redundante_con_sexo_jefe_bin,
pobreza,target_raw_source,alto
linea,derivada_directa_regla_oficial_pobreza,alto
linpe,linea_extrema_relacionada_regla_oficial,alto
gashog2d,variable_monetaria_muy_cercana_a_regla_oficial,alto
inghog1d,variable_monetaria_muy_cercana_a_regla_oficial,alto
ingreso_hogar,variable_derivada_monetaria_potencial_leakage,alto
ingreso_percapita,transformacion_directa_monetaria_potencial_leakage,alto
gru11hd,componente_gasto_sumaria,alto
gru12hd1,componente_gasto_sumaria,alto
gru12hd2,componente_gasto_sumaria,alto
gru13hd1,componente_gasto_sumaria,alto
gru13hd2,componente_gasto_sumaria,alto
gru13hd3,componente_gasto_sumaria,alto
gru13hd4,componente_gasto_sumaria,alto
gru14hd,componente_gasto_sumaria,alto
gru21hd,componente_gasto_sumaria,alto
gru22hd1,componente_gasto_sumaria,alto
gru22hd2,componente_gasto_sumaria,alto
gru23hd1,componente_gasto_sumaria,alto
gru23hd2,componente_gasto_sumaria,alto
gru23hd3,componente_gasto_sumaria,alto
gru24hd,componente_gasto_sumaria,alto
gru31hd,componente_gasto_sumaria,alto
gru32hd1,componente_gasto_sumaria,alto
gru32hd2,componente_gasto_sumaria,alto
gru33hd1,componente_gasto_sumaria,alto
gru33hd2,componente_gasto_sumaria,alto
gru33hd3,componente_gasto_sumaria,alto
gru34hd,componente_gasto_sumaria,alto
gru41hd,componente_gasto_sumaria,alto
gru44hd,componente_gasto_sumaria,alto
gru51hd,componente_gasto_sumaria,alto
gru52hd1,componente_gasto_sumaria,alto
gru53hd1,componente_gasto_sumaria,alto
gru53hd2,componente_gasto_sumaria,alto
gru53hd3,componente_gasto_sumaria,alto
gru53hd4,componente_gasto_sumaria,alto
gru54hd,componente_gasto_sumaria,alto
gru61hd,componente_gasto_sumaria,alto
gru62hd1,componente_gasto_sumaria,alto
gru62hd2,componente_gasto_sumaria,alto
gru63hd1,componente_gasto_sumaria,alto
gru63hd2,componente_gasto_sumaria,alto
gru63hd3,componente_gasto_sumaria,alto
gru64hd,componente_gasto_sumaria,alto
ano,columna_constante,
sg423,columna_constante,
sg42d3,columna_constante,
g05hd3,columna_constante,
ig06hd3,columna_constante,
g05hd4,columna_constante,
ig06hd4,columna_constante,
g05hd5,columna_constante,
ig06hd5,columna_constante,
g05hd6,columna_constante,
ig06hd6,columna_constante,
ingtpu11,columna_constante,
ingtpu15,columna_constante,
gru14hd3,columna_constante,
gru14hd5,columna_constante,
gru14hd6,columna_constante,
gru23hd3,columna_constante,
gru24hd,columna_constante,
gru32hd2,columna_constante,
gru33hd1,columna_constante,
gru53hd4,columna_constante,
gru63hd3,columna_constante,
gru72hd2,columna_constante,
gru86hd2,columna_constante,
jefe_hogar,columna_constante,
codigo_parentesco_jefe,columna_constante,
num_jefes_detectados,columna_constante,
departamento_cod,columna_constante,
perceptores_leq_tam_hogar,columna_constante,
tam_hogar_mod2,redundante_con_tam_hogar,
mieperho,redundante_con_tam_hogar,
percepho,redundante_con_num_perceptores,
sexo_jefe,redundante_con_sexo_jefe_bin,
conglome,identificador_irrelevante_modelado,
vivienda,identificador_irrelevante_modelado,
hogar,identificador_irrelevante_modelado,
educ_jefe_nivel,auxiliar_o_control,
educ_jefe_anio,auxiliar_o_control,
educ_jefe_grado,auxiliar_o_control,
codigo_parentesco_jefe,auxiliar_o_control,
tam_hogar_consistente,auxiliar_o_control,
perceptores_leq_tam_hogar,auxiliar_o_control,
