variable,tipo_feature,dtype,nulos_pct,requiere_imputacion,requiere_encoding,riesgo_leakage
acceso_agua_red,binaria,int64,0.0,False,False,bajo
acceso_desague_red,binaria,int64,0.0,False,False,bajo
acceso_electricidad,binaria,int64,0.0,False,False,bajo
agua_disponible_diaria,binaria,int64,0.0,False,False,bajo
agua_potable_reportada,binaria,int64,0.0,False,False,bajo
agua_segura_proxy,binaria,int64,0.0,False,False,bajo
any_6_16_no_asisten,binaria,int64,0.0,False,False,bajo
any_6_16_no_matriculados,binaria,int64,0.0,False,False,bajo
any_enfermedad_4w,binaria,int64,0.0,False,False,bajo
any_ingreso_laboral_hogar,binaria,int64,0.0,False,False,bajo
any_sin_atencion_salud,binaria,int64,0.0,False,False,bajo
any_sintoma_4w,binaria,int64,0.0,False,False,bajo
area_rural_bin,binaria,int64,0.0,False,False,bajo
children_not_attending,binaria,int64,0.0,False,False,bajo
children_not_enrolled,binaria,int64,0.0,False,False,bajo
combustible_limpio,binaria,int64,0.0,False,False,bajo
combustible_precario,binaria,int64,0.0,False,False,bajo
health_no_attention,binaria,int64,0.0,False,False,bajo
internet_hogar,binaria,int64,0.0,False,False,bajo
jefe_con_ingreso_laboral,binaria,int64,0.0,False,False,bajo
piso_precario,binaria,int64,0.0,False,False,bajo
saneamiento_inadecuado,binaria,int64,0.0,False,False,bajo
sexo_jefe_bin,binaria,int64,0.0,False,False,bajo
area_urbana_rural,categorica,str,0.0,False,True,bajo
combustible_principal,categorica,str,0.7251,True,True,bajo
distrito_cod,categorica,str,0.0,False,True,bajo
dominio,categorica,category,0.0,False,True,bajo
educ_jefe,categorica,str,0.0,False,True,bajo
estrato,categorica,category,0.0,False,True,bajo
estrsocial,categorica,category,0.0,False,True,bajo
fuente_agua,categorica,str,0.0,False,True,bajo
material_piso,categorica,str,0.3955,True,True,bajo
mes,categorica,str,0.0,False,True,bajo
nconglome,categorica,str,0.0,False,True,bajo
p101,categorica,category,0.3955,True,True,bajo
p102,categorica,category,0.3955,True,True,bajo
p103,categorica,category,0.3955,True,True,bajo
p103a,categorica,category,0.3955,True,True,bajo
p105a,categorica,category,0.0,False,True,bajo
p110,categorica,category,0.0,False,True,bajo
p110a1,categorica,category,15.7548,True,True,bajo
p110c,categorica,category,15.7548,True,True,bajo
p111a,categorica,category,0.0,False,True,bajo
p1121,categorica,category,0.0,False,True,bajo
p112a,categorica,category,5.2076,True,True,bajo
p1131,categorica,category,0.0,False,True,bajo
p1132,categorica,category,0.0,False,True,bajo
p1133,categorica,category,0.0,False,True,bajo
p1135,categorica,category,0.0,False,True,bajo
p1136,categorica,category,0.0,False,True,bajo
p1137,categorica,category,0.0,False,True,bajo
p1139,categorica,category,0.0,False,True,bajo
p113a,categorica,category,0.7251,True,True,bajo
p1141,categorica,category,0.0,False,True,bajo
p1142,categorica,category,0.0,False,True,bajo
p1143,categorica,category,0.0,False,True,bajo
p1144,categorica,category,0.0,False,True,bajo
p1145,categorica,category,0.0,False,True,bajo
p114b1,categorica,category,8.8991,True,True,bajo
p114b2,categorica,category,10.4153,True,True,bajo
p114b3,categorica,category,10.4153,True,True,bajo
