concept,query_used,candidate_variable,year,survey,period,module_code,module_name,label
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo01,Características de la Vivienda y del Hogar,código de distrito (ubicación geográfica)
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo02,Características de los Miembros del Hogar,Código de Distrito ( Ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo03,Educación,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo04,Salud,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo05,Empleo e Ingresos,código de ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo07,Gastos en Alimentos y Bebidas (Módulo 601),ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo08,Instituciones Beneficas,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo09,Mantenimiento de la Vivienda,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo10,Transportes y Comunicaciones,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo11,Servicios a la Vivienda,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo12,"Esparcimiento , Diversion y Servicios de Cultura",ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo13,Vestido y Calzado,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo15,Gastos de Transferencias,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo16,Muebles y Enseres,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo17,Otros Bienes y Servicios,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo18,Equipamiento del Hogar,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo22,Producción Agrícola,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo23,Subproductos Agricolas,ubicación geografica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo24,Producción Forestal,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo25,Gastos en Actividades Agricolas y/o Forestales,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo26,Producción Pecuaria,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo27,Subproductos Pecuarios,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo28,Gastos en Actividades Pecuarias,ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo34,Sumarias ( Variables Calculadas ),ubicación geografica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo37,Programas Sociales  (Miembros del Hogar),código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo77,Ingresos del Trabajador Independiente,código de ubicación geográfica
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo84,Participación Ciudadana,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo78,Bienes y Servicios de Cuidados Personales,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2004,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),280-Modulo85,"Gobernabilidad, Democracia y Transparencia",ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo01,Características de la Vivienda y del Hogar,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo02,Características de los Miembros del Hogar,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo03,Educación,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo04,Salud,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo05,Empleo e Ingresos,código de ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo07,Gastos en Alimentos y Bebidas (Módulo 601),ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo08,Instituciones Beneficas,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo09,Mantenimiento de la Vivienda,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo10,Transportes y Comunicaciones,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo11,Servicios a la Vivienda,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo12,"Esparcimiento , Diversion y Servicios de Cultura",ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo13,Vestido y Calzado,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo15,Gastos de Transferencias,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo16,Muebles y Enseres,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo17,Otros Bienes y Servicios,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo18,Equipamiento del Hogar,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo22,Producción Agrícola,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo23,Subproductos Agricolas,ubicación geografica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo24,Producción Forestal,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo25,Gastos en Actividades Agricolas y/o Forestales,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo26,Producción Pecuaria,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo27,Subproductos Pecuarios,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo28,Gastos en Actividades Pecuarias,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo34,Sumarias ( Variables Calculadas ),ubicación geografica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo37,Programas Sociales  (Miembros del Hogar),código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo77,Ingresos del Trabajador Independiente,código de ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo78,Bienes y Servicios de Cuidados Personales,código de distrito ( ubicación geográfica )
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo84,Participación Ciudadana,ubicación geográfica
ubigeo,ubigeo,ubigeo,2005,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),281-Modulo85,"Gobernabilidad, Democracia y Transparencia",ubicación geográfica
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo01,Características de la Vivienda y del Hogar,código de distrito (ubicación geográfica)
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo02,Características de los Miembros del Hogar,Código de Distrito ( Ubicación geográfica )
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo03,Educación,ubicación geográfica
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo04,Salud,Ubicación Geográfica
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo05,Empleo e Ingresos,código de ubicación geográfica
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo07,Gastos en Alimentos y Bebidas (Módulo 601),ubicación geográfica
ubigeo,ubigeo,ubigeo,2006,Condiciones de Vida y Pobreza - ENAHO,Anual - (Ene-Dic),282-Modulo08,Instituciones Beneficas,código de distrito ( ubicación geográfica )
