survey,category,year,period,module_code,module_name,variable,label,values,concept,query,matched_annual_enaho_2023
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,ubigeo,ubicacion geografica,,ubigeo,ubigeo,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo02,Características de los Miembros del Hogar,ubigeo,ubicacion geografica,,ubigeo,ubigeo,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo03,Educación,ubigeo,ubicacion geografica,,ubigeo,ubigeo,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo04,Salud,UBIGEO,Ubicacion geografica,,ubigeo,ubigeo,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,ubigeo,ubicacion geografica,,ubigeo,ubigeo,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),ubigeo,ubicacion geografica,,ubigeo,ubigeo,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,conglome,numero de conglomerado,,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,tipenc,tipo de seleccion del conglomerado,"{""1"": ""seleccion automatica por computadora - area urbana"", ""3"": ""seleccion por muestra panel"", ""4"": ""seleccion automatica por computadora - area rural"", ""5"": ""seleccion por conteo de la encuestadora en el area rural""}",conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,nconglome,numero de conglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,sub_conglome,numero de subconglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo02,Características de los Miembros del Hogar,conglome,numero de conglomerado,,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo02,Características de los Miembros del Hogar,nconglome,numero de conglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo02,Características de los Miembros del Hogar,sub_conglome,numero de subconglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo03,Educación,conglome,numero de conglomerado,,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo03,Educación,imputado,conglomerado - (imputacion hot-deck),"{""1"": ""con imputación hot-deck""}",conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo03,Educación,nconglome,numero de conglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo03,Educación,sub_conglome,numero de subconglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo04,Salud,CONGLOME,Numero de conglomerado,,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo04,Salud,IMPUTADO,Conglomerado - (Imputacion Hot-Deck),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo04,Salud,NCONGLOME,Numero de conglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo04,Salud,SUB_CONGLOME,Numero de Subconglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,conglome,numero de conglomerado,,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,nconglome,numero de conglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo05,Empleo e Ingresos,sub_conglome,numero de subconglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),conglome,numero de conglomerado,,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),nconglome,numero de conglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo34,Sumarias ( Variables Calculadas ),sub_conglome,numero de subconglomerado (proveniente del marco),,conglome,conglome,True
Condiciones de Vida y Pobreza - ENAHO,ENAHO Actualizada,2023,Anual - (Ene-Dic),906-Modulo01,Características de la Vivienda y del Hogar,vivienda,numero de seleccion de vivienda,,vivienda,vivienda,True
