table_id,zip_name,table_name,original_column,standardized_column
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,aÑo,ano
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,mes,mes
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,conglome,conglome
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,vivienda,vivienda
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,hogar,hogar
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,ubigeo,ubigeo
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,dominio,dominio
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,estrato,estrato
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,periodo,periodo
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,tipenc,tipenc
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,fecent,fecent
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,result,result
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,panel,panel
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p22,p22
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p23,p23
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p24a,p24a
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p24b,p24b
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_1,p25_1
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_2,p25_2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_3,p25_3
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_4,p25_4
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p25_5,p25_5
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p101,p101
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p102,p102
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p103,p103
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p103a,p103a
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104,p104
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104a,p104a
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104b1,p104b1
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p104b2,p104b2
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p105a,p105a
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,p105b,p105b
