provincia_cod,distrito_cod,filas,hogares_unicos,departamento_cod
0401,040101,40,40,04
0401,040102,70,70,04
0401,040103,66,66,04
0401,040104,189,189,04
0401,040105,6,6,04
0401,040106,8,8,04
0401,040107,29,29,04
0401,040108,70,70,04
0401,040109,66,66,04
0401,040110,54,54,04
0401,040111,19,19,04
0401,040112,71,71,04
0401,040115,10,10,04
0401,040116,6,6,04
0401,040117,13,13,04
0401,040119,4,4,04
0401,040121,6,6,04
0401,040122,62,62,04
0401,040123,18,18,04
0401,040124,11,11,04
0401,040125,5,5,04
0401,040126,26,26,04
0401,040127,7,7,04
0401,040128,97,97,04
0401,040129,57,57,04
0402,040201,11,11,04
0402,040202,6,6,04
0402,040203,8,8,04
0402,040204,6,6,04
0402,040206,12,12,04
0402,040207,8,8,04
0402,040208,23,23,04
0403,040301,6,6,04
0403,040302,8,8,04
0403,040303,12,12,04
0403,040305,12,12,04
0403,040306,6,6,04
0403,040307,12,12,04
0403,040311,8,8,04
0403,040312,14,14,04
0404,040401,24,24,04
0404,040406,12,12,04
0404,040407,8,8,04
0404,040408,7,7,04
0404,040409,16,16,04
0404,040413,8,8,04
0405,040504,8,8,04
0405,040508,8,8,04
0405,040509,8,8,04
0405,040511,16,16,04
0405,040513,5,5,04
0405,040517,8,8,04
0405,040519,8,8,04
0405,040520,102,102,04
0406,040603,8,8,04
0406,040608,15,15,04
0407,040701,18,18,04
0407,040702,11,11,04
0407,040703,13,13,04
0407,040705,8,8,04
0407,040706,14,14,04
0408,040801,14,14,04
0408,040807,8,8,04
0408,040809,8,8,04
