table_id,zip_name,table_name,column_name,original_column_name,dtype,null_count,null_pct,n_unique
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,ano,aÑo,str,0,0.0,1
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,mes,mes,str,0,0.0,12
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,conglome,conglome,str,0,0.0,5359
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,vivienda,vivienda,str,0,0.0,537
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,hogar,hogar,str,0,0.0,10
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,codperso,codperso,str,0,0.0,22
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,ubigeo,ubigeo,str,0,0.0,1263
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,dominio,dominio,category,0,0.0,8
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,estrato,estrato,category,0,0.0,8
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p201p,p201p,str,0,0.0,119729
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p203,p203,category,0,0.0,11
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p203a,p203a,float64,3487,2.912,7
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p203b,p203b,category,3487,2.912,6
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p204,p204,category,3487,2.912,2
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p205,p205,category,7894,6.5922,2
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p206,p206,category,115340,96.3197,2
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p207,p207,category,3487,2.912,2
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p208a,p208a,float64,3487,2.912,99
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p208b,p208b,float64,118372,98.8517,12
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p209,p209,category,25518,21.3099,6
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p210,p210,category,91566,76.4662,2
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p211a,p211a,category,94610,79.0082,10
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p211d,p211d,float64,113044,94.4024,72
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p212,p212,float64,3487,2.912,23
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p213,p213,float64,3487,2.912,23
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p214,p214,float64,3487,2.912,21
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p215,p215,float64,89667,74.8804,15
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p216,p216,float64,86953,72.6139,2
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,p217,p217,category,116260,97.088,4
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,t211,t211,category,94610,79.0082,11
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,ocupac_r3,ocupac_r3,category,113043,94.4015,71
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,ocupac_r4,ocupac_r4,category,113043,94.4015,84
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,rama_r3,rama_r3,category,113043,94.4015,85
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,rama_r4,rama_r4,category,113043,94.4015,125
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,codtarea,codtarea,str,0,0.0,3
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,codtiempo,codtiempo,str,0,0.0,3
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,ticuest01,ticuest01,category,0,0.0,1
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,facpob07,facpob07,float32,0,0.0,1345
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,nconglome,nconglome,str,0,0.0,5310
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,sub_conglome,sub_conglome,str,0,0.0,6
