table_id,zip_name,table_name,column_name,original_column_name,dtype,null_count,null_pct,n_unique
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,ano,aÑo,str,0,0.0,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,mes,mes,str,0,0.0,12
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,conglome,conglome,str,0,0.0,5359
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,vivienda,vivienda,str,0,0.0,537
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,hogar,hogar,str,0,0.0,10
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,codperso,codperso,str,0,0.0,22
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,ubigeo,ubigeo,str,0,0.0,1263
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,dominio,dominio,int8,0,0.0,8
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,estrato,estrato,int8,0,0.0,8
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,codinfor,codinfor,str,0,0.0,21
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p300n,p300n,int8,0,0.0,22
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p300i,p300i,int8,0,0.0,21
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p300a,p300a,float64,105,0.0969,14
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301a,p301a,float64,105,0.0969,12
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301b,p301b,float64,6636,6.1244,8
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301c,p301c,float64,83677,77.2256,7
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301d,p301d,float64,6625,6.1142,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301a0,p301a0,float64,61690,56.9338,3
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301a1,p301a1,float64,83180,76.7669,660
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301b0,p301b0,float64,82801,76.4171,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301b1,p301b1,float64,84532,78.0147,1075
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p301b3,p301b3,float64,83565,77.1222,26
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p302,p302,float64,75208,69.4095,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p302x,p302x,float64,93236,86.0476,3
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p302a,p302a,float64,93236,86.0476,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p302b,p302b,float64,108303,99.9529,3
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p303,p303,float64,105,0.0969,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p304a,p304a,float64,73929,68.2291,7
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p304b,p304b,float64,73929,68.2291,8
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p304c,p304c,float64,95223,87.8814,6
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p304d,p304d,float64,73931,68.231,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p305,p305,float64,73929,68.2291,5
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p306,p306,float64,105,0.0969,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307,p307,float64,77350,71.3864,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a1,p307a1,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a2,p307a2,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a3,p307a3,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a4,p307a4,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a4_5,p307a4_5,float64,106580,98.3628,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a4_6,p307a4_6,float64,106580,98.3628,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307a4_7,p307a4_7,float64,106580,98.3628,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b1,p307b1,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b2,p307b2,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b3,p307b3,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b4,p307b4,float64,106578,98.3609,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b4_5,p307b4_5,float64,106579,98.3619,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b4_6,p307b4_6,float64,106579,98.3619,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307b4_7,p307b4_7,float64,106579,98.3619,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p307c,p307c,float64,80858,74.6239,3
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308a,p308a,float64,77350,71.3864,7
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308b,p308b,float64,77350,71.3864,8
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308c,p308c,float64,97087,89.6017,6
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308d,p308d,float64,77351,71.3873,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308b1,p308b1,float64,80858,74.6239,5
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308b2,p308b2,float64,80858,74.6239,5
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308b3,p308b3,float64,80858,74.6239,5
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308b4,p308b4,float64,86098,79.4599,5
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308b5,p308b5,float64,86098,79.4599,5
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308c1,p308c1,float64,80858,74.6239,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p308c2,p308c2,float64,80858,74.6239,1178
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310,p310,float64,105,0.0969,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310b1,p310b1,float64,21767,20.0888,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310c0,p310c0,float64,104494,96.4376,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310c1,p310c1,float64,104909,96.8206,157
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310d1,p310d1,float64,104494,96.4376,3
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310d2,p310d2,float64,104494,96.4376,13
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310e0,p310e0,float64,104494,96.4376,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310e1,p310e1,float64,105464,97.3328,810
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p310e3,p310e3,float64,105003,96.9074,26
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_1,p311n_1,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_2,p311n_2,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_3,p311n_3,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_4,p311n_4,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_5,p311n_5,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_6,p311n_6,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_7,p311n_7,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_8,p311n_8,float64,67357,62.1638,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311n_9,p311n_9,float64,67462,62.2607,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_1,p311_1,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_2,p311_2,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_3,p311_3,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_4,p311_4,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_5,p311_5,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_6,p311_6,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_7,p311_7,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_8,p311_8,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311_9,p311_9,float64,67357,62.1638,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_1,p311a1_1,float64,84999,78.4457,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_2,p311a1_2,float64,85296,78.7198,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_3,p311a1_3,float64,106248,98.0564,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_4,p311a1_4,float64,79871,73.713,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_5,p311a1_5,float64,96472,89.0341,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_6,p311a1_6,float64,92582,85.444,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_7,p311a1_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_8,p311a1_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a1_9,p311a1_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_1,p311a2_1,float64,84999,78.4457,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_2,p311a2_2,float64,85296,78.7198,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_3,p311a2_3,float64,106248,98.0564,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_4,p311a2_4,float64,79871,73.713,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_5,p311a2_5,float64,96472,89.0341,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_6,p311a2_6,float64,92582,85.444,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_7,p311a2_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_8,p311a2_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a2_9,p311a2_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_1,p311a3_1,float64,84999,78.4457,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_2,p311a3_2,float64,85296,78.7198,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_3,p311a3_3,float64,106248,98.0564,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_4,p311a3_4,float64,79871,73.713,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_5,p311a3_5,float64,96472,89.0341,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_6,p311a3_6,float64,92582,85.444,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_7,p311a3_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_8,p311a3_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a3_9,p311a3_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_1,p311a4_1,float64,84999,78.4457,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_2,p311a4_2,float64,85296,78.7198,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_3,p311a4_3,float64,106248,98.0564,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_4,p311a4_4,float64,79871,73.713,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_5,p311a4_5,float64,96472,89.0341,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_6,p311a4_6,float64,92582,85.444,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_7,p311a4_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_8,p311a4_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a4_9,p311a4_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_1,p311a5_1,float64,84999,78.4457,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_2,p311a5_2,float64,85296,78.7198,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_3,p311a5_3,float64,106248,98.0564,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_4,p311a5_4,float64,79871,73.713,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_5,p311a5_5,float64,96472,89.0341,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_6,p311a5_6,float64,92582,85.444,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_7,p311a5_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_8,p311a5_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a5_9,p311a5_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_1,p311a6_1,float64,84999,78.4457,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_2,p311a6_2,float64,85296,78.7198,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_3,p311a6_3,float64,106248,98.0564,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_4,p311a6_4,float64,79871,73.713,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_5,p311a6_5,float64,96472,89.0341,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_6,p311a6_6,float64,92582,85.444,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_7,p311a6_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_8,p311a6_8,float64,108249,99.9031,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a6_9,p311a6_9,float64,105874,97.7112,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_1,p311a7_1,float64,84999,78.4457,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_2,p311a7_2,float64,85296,78.7198,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_3,p311a7_3,float64,106248,98.0564,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_4,p311a7_4,float64,79871,73.713,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_5,p311a7_5,float64,96472,89.0341,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_6,p311a7_6,float64,92582,85.444,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_7,p311a7_7,float64,71078,65.5979,2
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_8,p311a7_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311a7_9,p311a7_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_1,p311b_1,float64,86424,79.7608,505
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_2,p311b_2,float64,87225,80.5,384
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_3,p311b_3,float64,106392,98.1893,437
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_4,p311b_4,float64,81599,75.3078,850
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_5,p311b_5,float64,97634,90.1065,943
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_6,p311b_6,float64,93193,86.0079,207
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_7,p311b_7,float64,72797,67.1844,1703
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_8,p311b_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311b_9,p311b_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_1,p311c_1,float64,86298,79.6445,10
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_2,p311c_2,float64,87096,80.381,10
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_3,p311c_3,float64,106364,98.1634,10
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_4,p311c_4,float64,81452,75.1721,10
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_5,p311c_5,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_6,p311c_6,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_7,p311c_7,float64,72557,66.9629,10
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_8,p311c_8,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311c_9,p311c_9,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_1,p311d_1,float32,106310,98.1136,253
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_2,p311d_2,float32,105956,97.7869,211
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_3,p311d_3,float64,108215,99.8717,63
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_4,p311d_4,float64,87901,81.1239,494
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_5,p311d_5,float64,107221,98.9544,172
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_6,p311d_6,float64,107813,99.5007,41
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_7,p311d_7,float64,102398,94.5032,519
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_8,p311d_8,float64,108250,99.904,20
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d_9,p311d_9,float64,105894,97.7297,58
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_1,p311d2_1,float64,108354,100.0,0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_2,p311d2_2,float64,108353,99.9991,1
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,p311d2_3,p311d2_3,float64,108354,100.0,0
