table_id,zip_name,table_name,rows,columns,analysis_level,merge_strategy,merge_columns_present_json,candidate_keys_json,unique_candidate_keys,duplicate_rows_all_columns
906-Modulo01__enaho01_2023_100,906-Modulo01.zip,enaho01-2023-100,44378,338,hogar,merge_hogar_directo,"{""conglome"": true, ""vivienda"": true, ""hogar"": true, ""ubigeo"": true}","[{""table_id"": ""906-Modulo01__enaho01_2023_100"", ""table_name"": ""enaho01-2023-100"", ""candidate_key"": ""conglome|vivienda|hogar"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo01__enaho01_2023_100"", ""table_name"": ""enaho01-2023-100"", ""candidate_key"": ""conglome|vivienda"", ""duplicate_count"": 419, ""is_unique"": false}, {""table_id"": ""906-Modulo01__enaho01_2023_100"", ""table_name"": ""enaho01-2023-100"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar"", ""duplicate_count"": 0, ""is_unique"": true}]","[""conglome|vivienda|hogar"", ""ubigeo|conglome|vivienda|hogar""]",0
906-Modulo02__enaho01_2023_200,906-Modulo02.zip,enaho01-2023-200,119747,40,persona,agregar_persona_a_hogar,"{""conglome"": true, ""vivienda"": true, ""hogar"": true, ""ubigeo"": true}","[{""table_id"": ""906-Modulo02__enaho01_2023_200"", ""table_name"": ""enaho01-2023-200"", ""candidate_key"": ""conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo02__enaho01_2023_200"", ""table_name"": ""enaho01-2023-200"", ""candidate_key"": ""conglome|vivienda|hogar"", ""duplicate_count"": 85861, ""is_unique"": false}, {""table_id"": ""906-Modulo02__enaho01_2023_200"", ""table_name"": ""enaho01-2023-200"", ""candidate_key"": ""conglome|vivienda"", ""duplicate_count"": 86234, ""is_unique"": false}, {""table_id"": ""906-Modulo02__enaho01_2023_200"", ""table_name"": ""enaho01-2023-200"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo02__enaho01_2023_200"", ""table_name"": ""enaho01-2023-200"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar"", ""duplicate_count"": 85861, ""is_unique"": false}]","[""conglome|vivienda|hogar|codperso"", ""ubigeo|conglome|vivienda|hogar|codperso""]",0
906-Modulo02__enaho_tabla_ciuo_88,906-Modulo02.zip,enaho_tabla_ciuo_88,5195,6,catalogo_clasificacion,tabla_clasificacion_apoyo_no_merge_directo,"{""conglome"": false, ""vivienda"": false, ""hogar"": false, ""ubigeo"": false}","[{""table_id"": ""906-Modulo02__enaho_tabla_ciuo_88"", ""table_name"": ""enaho_tabla_ciuo_88"", ""candidate_key"": ""codocupa"", ""duplicate_count"": 4745, ""is_unique"": false}, {""table_id"": ""906-Modulo02__enaho_tabla_ciuo_88"", ""table_name"": ""enaho_tabla_ciuo_88"", ""candidate_key"": ""grangrup|grupo|subgrupo|variedad|codocupa"", ""duplicate_count"": 1, ""is_unique"": false}]",[],0
906-Modulo02__enaho_tabla_cno,906-Modulo02.zip,enaho_tabla_cno,473,2,catalogo_clasificacion,tabla_clasificacion_apoyo_no_merge_directo,"{""conglome"": false, ""vivienda"": false, ""hogar"": false, ""ubigeo"": false}","[{""table_id"": ""906-Modulo02__enaho_tabla_cno"", ""table_name"": ""enaho_tabla_cno"", ""candidate_key"": ""codigo_cno_2015"", ""duplicate_count"": 0, ""is_unique"": true}]","[""codigo_cno_2015""]",0
906-Modulo03__enaho01a_2023_300,906-Modulo03.zip,enaho01a-2023-300,108354,511,persona,agregar_persona_a_hogar,"{""conglome"": true, ""vivienda"": true, ""hogar"": true, ""ubigeo"": true}","[{""table_id"": ""906-Modulo03__enaho01a_2023_300"", ""table_name"": ""enaho01a-2023-300"", ""candidate_key"": ""conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo03__enaho01a_2023_300"", ""table_name"": ""enaho01a-2023-300"", ""candidate_key"": ""conglome|vivienda|hogar"", ""duplicate_count"": 74468, ""is_unique"": false}, {""table_id"": ""906-Modulo03__enaho01a_2023_300"", ""table_name"": ""enaho01a-2023-300"", ""candidate_key"": ""conglome|vivienda"", ""duplicate_count"": 74841, ""is_unique"": false}, {""table_id"": ""906-Modulo03__enaho01a_2023_300"", ""table_name"": ""enaho01a-2023-300"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo03__enaho01a_2023_300"", ""table_name"": ""enaho01a-2023-300"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar"", ""duplicate_count"": 74468, ""is_unique"": false}]","[""conglome|vivienda|hogar|codperso"", ""ubigeo|conglome|vivienda|hogar|codperso""]",0
906-Modulo04__enaho01a_2023_400,906-Modulo04.zip,enaho01a-2023-400,112530,940,persona,agregar_persona_a_hogar,"{""conglome"": true, ""vivienda"": true, ""hogar"": true, ""ubigeo"": true}","[{""table_id"": ""906-Modulo04__enaho01a_2023_400"", ""table_name"": ""enaho01a-2023-400"", ""candidate_key"": ""conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo04__enaho01a_2023_400"", ""table_name"": ""enaho01a-2023-400"", ""candidate_key"": ""conglome|vivienda|hogar"", ""duplicate_count"": 78644, ""is_unique"": false}, {""table_id"": ""906-Modulo04__enaho01a_2023_400"", ""table_name"": ""enaho01a-2023-400"", ""candidate_key"": ""conglome|vivienda"", ""duplicate_count"": 79017, ""is_unique"": false}, {""table_id"": ""906-Modulo04__enaho01a_2023_400"", ""table_name"": ""enaho01a-2023-400"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo04__enaho01a_2023_400"", ""table_name"": ""enaho01a-2023-400"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar"", ""duplicate_count"": 78644, ""is_unique"": false}]","[""conglome|vivienda|hogar|codperso"", ""ubigeo|conglome|vivienda|hogar|codperso""]",0
906-Modulo05__enaho01a_2023_500,906-Modulo05.zip,enaho01a-2023-500,86654,1414,persona,agregar_persona_a_hogar,"{""conglome"": true, ""vivienda"": true, ""hogar"": true, ""ubigeo"": true}","[{""table_id"": ""906-Modulo05__enaho01a_2023_500"", ""table_name"": ""enaho01a-2023-500"", ""candidate_key"": ""conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo05__enaho01a_2023_500"", ""table_name"": ""enaho01a-2023-500"", ""candidate_key"": ""conglome|vivienda|hogar"", ""duplicate_count"": 52768, ""is_unique"": false}, {""table_id"": ""906-Modulo05__enaho01a_2023_500"", ""table_name"": ""enaho01a-2023-500"", ""candidate_key"": ""conglome|vivienda"", ""duplicate_count"": 53141, ""is_unique"": false}, {""table_id"": ""906-Modulo05__enaho01a_2023_500"", ""table_name"": ""enaho01a-2023-500"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar|codperso"", ""duplicate_count"": 0, ""is_unique"": true}, {""table_id"": ""906-Modulo05__enaho01a_2023_500"", ""table_name"": ""enaho01a-2023-500"", ""candidate_key"": ""ubigeo|conglome|vivienda|hogar"", ""duplicate_count"": 52768, ""is_unique"": false}]","[""conglome|vivienda|hogar|codperso"", ""ubigeo|conglome|vivienda|hogar|codperso""]",0
906-Modulo05__enaho_tabla_ciiu_rev3,906-Modulo05.zip,enaho_tabla_ciiu_rev3,296,2,catalogo_clasificacion,tabla_clasificacion_apoyo_no_merge_directo,"{""conglome"": false, ""vivienda"": false, ""hogar"": false, ""ubigeo"": false}","[{""table_id"": ""906-Modulo05__enaho_tabla_ciiu_rev3"", ""table_name"": ""enaho_tabla_ciiu_rev3"", ""candidate_key"": ""codrev3"", ""duplicate_count"": 0, ""is_unique"": true}]","[""codrev3""]",0
906-Modulo05__enaho_tabla_ciiu_rev4,906-Modulo05.zip,enaho_tabla_ciiu_rev4,419,2,catalogo_clasificacion,tabla_clasificacion_apoyo_no_merge_directo,"{""conglome"": false, ""vivienda"": false, ""hogar"": false, ""ubigeo"": false}","[{""table_id"": ""906-Modulo05__enaho_tabla_ciiu_rev4"", ""table_name"": ""enaho_tabla_ciiu_rev4"", ""candidate_key"": ""codrev4"", ""duplicate_count"": 1, ""is_unique"": false}]",[],1
906-Modulo05__enaho_tabla_ciuo_88,906-Modulo05.zip,enaho_tabla_ciuo_88,5195,6,catalogo_clasificacion,tabla_clasificacion_apoyo_no_merge_directo,"{""conglome"": false, ""vivienda"": false, ""hogar"": false, ""ubigeo"": false}","[{""table_id"": ""906-Modulo05__enaho_tabla_ciuo_88"", ""table_name"": ""enaho_tabla_ciuo_88"", ""candidate_key"": ""codocupa"", ""duplicate_count"": 4745, ""is_unique"": false}, {""table_id"": ""906-Modulo05__enaho_tabla_ciuo_88"", ""table_name"": ""enaho_tabla_ciuo_88"", ""candidate_key"": ""grangrup|grupo|subgrupo|variedad|codocupa"", ""duplicate_count"": 1, ""is_unique"": false}]",[],0
