variable,label,values
mes,mes de ejecucion de la encuesta,
ubigeo,ubicacion geografica,
dominio,dominio geografico,"{'1': 'costa norte', '2': 'costa centro', '3': 'costa sur', '4': 'sierra norte', '5': 'sierra centro', '6': 'sierra sur', '7': 'selva', '8': 'lima metropolitana'}"
estrato,estrato geografico,"{'1': ' de 500 000 a más habitantes', '2': ' de 100 000 a 499 999 habitantes', '3': ' de 50 000 a 99 999 habitantes', '4': ' de 20 000 a 49 999 habitantes', '5': 'de 2 000 a 19 999 habitantes', '6': ' de 500 a 1 999 habitantes', '7': 'area de empadronamiento rural (aer) compuesto', '8': 'area de empadronamiento rural (aer) simple'}"
totmieho,total de personas en el hogar,
ia01hd,ingreso alquiler imputado de la vivienda,
ia02hd,ingreso por transferencia de alquiler,
ig03hd1,"credito, compra casa, departamento",
ig03hd2,"credito, compra terreno para vivienda",
ig03hd3,"credito, mejoramiento y/o ampliacion de la vivienda",
ig03hd4,"credito, construccion de nueva vivienda",
ga03hd,gasto por alquiler,
ga04hd,gasto por alquiler imputado,
sg23,gastos por equipamiento del hogar adquiridos - transporte,
sig24,ingresos y gastos por alimentos para consumir en el hogar,
sg25,gastos por alimentos consumidos fuera del hogar (menores de 14 años),
sig26,ingresos y gastos por alimentos consumidos fuera del hogar (menores de 14 años),
sg27,gastos por alimentos consumidos por ollas comunes,
sig28,ingresos y gastos por alimentos consumidos por ollas comunes,
sg42,"gastos por equipamiento del hogar comprados - equipos tv, computacion, sonido",
sg421,"gastos por equipamiento del hogar comprados - electrodomésticos, máquina de cose",
sg422,gastos por equipamiento del hogar comprados - transporte,
sg42d,"gastos por equipamiento del hogar adquiridos - equipos tv, computacion, sonido",
sg42d1,"gastos por equipamiento del hogar adquiridos - electrodomésticos, máquina de cos",
sg42d2,gastos por equipamiento del hogar adquiridos - transporte,
ingbruhd,ingreso bruto actividad principal monetaria (dependiente),
ingnethd,ingreso neto de la actividad principal monetario (dependiente),
pagesphd,ingreso por pago en especie de la actividad principal,
ingindhd,ingreso por actividad principal independiente,
ingauthd,ingreso por autoconsumo de la actividad principal independiente,
insedthd,ingreso bruto de la actividad secundaria dependiente,
insedlhd,ingreso neto de la actividad secundaria dependiente,
paesechd,ingreso pago en especie de la actividad secundaria dependiente,
ingseihd,ingreso neto de la actividad secundaria independiente,
isecauhd,ingreso por autoconsumo de la actividad secundaria independiente,
ingexthd,ingresos extraordinarios por trabajo,
ingtrahd,ingreso por transferencias corrientes monetarias del pais,
ingtexhd,ingreso por transferencias corrientes del extranjero,
ingrenhd,ingreso por rentas de la propiedad monetaria,
ingoexhd,otros ingresos extraordinarios,
g05hd,gastos por alimentos consumidos fuera del hogar - pago,
ig06hd,ingresos y gastos por alimentos consumidos fuera del hogar-no pago,
g05hd1,gastos por alimentos consumidos fuera del hogar en otro hogar- pago,
ig06hd1,ingresos y gastos por alimentos consumidos fuera del hogar - otro hogar-no pago,
g05hd2,gastos por alimentos consumidos fuera del hogar prepara sus alimentos - pago,
ig06hd2,ingresos y gastos por alimentos consumidos fuera del hogar - prepara sus aliment,
g07hd,,
ig08hd,,
ingtprhd,ingreso por transferencias corrientes privada,
ingtpuhd,ingreso por transferencias corrientes publicas,
ingtpu01,ingreso por transferencias corrientes publicas: juntos,
ingtpu02,ingreso por transferencias corrientes publicas: otros,
ingtpu03,ingreso por transferencias corrientes publicas: pension 65,
ingtpu04,ingreso por transferencias corrientes publicas: beca 18,
ingtpu05,ingreso por transferencias corrientes publicas: bono del gas,
ingtpu10,ingreso por transferencias corrientes públicas bono electricidad,
ingtpu12,ingreso por transferencias corrientes públicas bono onp para jubilados,
ingtpu13,ingreso por transferencias corrientes públicas programa contigo,
ingtpu14,ingreso por transferencias corrientes públicas bono yanapay,
ingtpu16,ingreso por transferencias corrientes públicas bono alimentario,
gru14hd1,,
gru14hd2,,
gru14hd4,,
gru42hd1,,
gru42hd2,,
gru43hd1,,
gru43hd2,,
gru43hd3,,
gru71hd,grupo 7: transporte - gasto,
gru72hd1,"grupo 7: transporte movilidad escolar- autoconsumo, autosuministro",
gru73hd1,grupo 7: transporte movilidad escolar- pago en especie,
gru73hd2,,
gru73hd3,,
gru74hd,grupo 7: transporte - donacion publica,
gru81hd,grupo 8: comunicaciones - gasto,
gru82hd1,,
gru82hd2,,
gru83hd1,,
gru83hd2,,
gru83hd3,,
gru83hd4,,
gru84hd,grupo 8: comunicaciones - donacion publica,
gru84hd1,,
gru85hd1,,
gru86hd1,,
gru87hd,"grupo 8: comunicaciones - no gasto, no sabe",
ingmo1hd,ingreso monetario (bruto),
ingmo2hd,ingreso monetario (neto),
inghog2d,ingreso neto total,
gashog1d,ingreso neto,
ld,deflactor espacial,
estrsocial,estrato socio-economico,"{'1': 'a', '2': 'b', '3': 'c', '4': 'd', '5': 'e'}"
lineav,linea corriente de vulnerabilidad 2017-2023,
pobrezav,pobreza y vulnerable con linea coriente,"{'1': 'pobre extremo', '2': 'pobre no extremo', '3': 'vulnerable no pobre', '4': 'no vulnerable'}"
factor07,factor de expansion anual proyecciones cpv-2007,
nconglome,numero de conglomerado (proveniente del marco),
sub_conglome,numero de subconglomerado (proveniente del marco),
