hogar_id,conglome,vivienda,hogar,ubigeo,factor_expansion_anual,target_pobreza_monetaria_bin,acceso_internet_hogar_derivado,internet_hogar_enaho,dispositivo_servicio_digital_1,dispositivo_servicio_digital_2,dispositivo_servicio_digital_3,edad_jefe,num_adultos_65_mas,num_ninos_0_5,num_ninos_6_16,sexo_jefe_bin,tam_hogar,al_menos_un_6_16_no_asiste,al_menos_un_6_16_no_matriculado,hogar_con_ninos_no_asisten,hogar_con_ninos_no_matriculados,nivel_educativo_jefe_cat,nivel_educativo_jefe_ord,num_6_16_no_asisten,num_6_16_no_matriculados,al_menos_un_ingreso_laboral_hogar,jefe_con_ingreso_laboral,num_miembros_con_ingreso_laboral,num_perceptores_hogar,acceso_electricidad,usa_combustible_limpio,usa_combustible_precario,combustible_principal_cocina,es_area_rural,estrato_geografico,al_menos_un_enfermedad_4_sem,al_menos_un_sintoma_4_sem,health_no_attention,num_miembros_afiliados_essalud,num_miembros_con_enfermedad_4_sem,num_miembros_con_sintoma_4_sem,num_miembros_sin_atencion_salud,acceso_agua_red,acceso_desague_red,agua_disponible_diaria,agua_potable_reportada,agua_segura_proxy,saneamiento_inadecuado,material_piso_cat,tipo_vivienda,material_pared,material_techo,num_habitaciones,tenencia_vivienda,piso_precario,ingreso_neto_total_hogar,monto_total_transferencias_publicas,monto_total_programas_sociales_alimentarios,monto_total_programas_sociales_no_alimentarios,recibe_programa_social_alimentario,recibe_programa_social_no_alimentario,monto_bono_alimentario,monto_apoyo_ollas_comunes,monto_ingresos_gastos_ollas_comunes,monto_juntos,monto_otras_transferencias_publicas,monto_pension_65,monto_beca_18,monto_bono_gas,monto_bono_electricidad,monto_bono_onp_jubilados,monto_programa_contigo,monto_bono_yanapay
040104_005480_006_11,005480,006,11,040104,212.44038,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,45.0,0,0,1,0,5,0,1,0,1,sin nivel,1.0,0,1,1,1,3,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,3,0,2,2,1,1,1,1,1,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,91674.125,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040104_005480_021_11,005480,021,11,040104,212.44038,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,40.0,0,0,0,0,4,0,0,0,0,primaria completa,4.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,2,0,2,2,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,2.0,"propia, totalmente pagada",0,63361.07421875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040104_005480_051_11,005480,051,11,040104,212.44038,0,1,conexion a internet,conexion fija,pase,pase,42.0,0,0,2,1,4,0,1,0,1,secundaria completa,6.0,0,2,1,1,2,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,2,2,1,1,1,1,1,0,"losetas, terrazos o similares",casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,"propia, totalmente pagada",0,53880.421875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040104_005480_063_11,005480,063,11,040104,212.44038,0,1,conexion a internet,pase,conexion movil post pago control,pase,52.0,0,0,2,1,6,1,0,1,0,superior universitaria incompleta,9.0,2,0,1,1,2,4,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,4,4,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,49310.07421875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040104_005480_079_11,005480,079,11,040104,212.44038,0,0,pase,,,,57.0,0,0,0,1,1,0,0,0,0,secundaria completa,6.0,0,0,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,0,1,0,1,0,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,"planchas de calamina, fibra de cemento o similares",1.0,"propia, totalmente pagada",0,35882.44921875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040104_005480_094_11,005480,094,11,040104,212.44038,0,1,conexion a internet,conexion fija,conexion movil post pago control,conexion movil prepago,52.0,1,0,1,0,3,0,1,0,1,secundaria completa,6.0,0,1,1,1,1,3,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,0,0,3,3,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,3.0,"propia, totalmente pagada",0,22370.80078125,1555,0.0,1555,0,1,0,0.0,0.0,0,0,1555,0,0,0,0,0,0
040103_005511_013_11,005511,013,11,040103,803.9254,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,45.0,0,0,1,1,3,1,0,1,0,superior no universitaria incompleta,7.0,1,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,1,1,3,0,1,1,1,1,1,1,1,0,"laminas asfalticas, vinilicos o similares","vivienda en casa de vecindad (callejon, solar o corralon)",ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,84712.8359375,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_005511_032_11,005511,032,11,040103,803.9254,1,1,conexion a internet,conexion fija,pase,conexion movil prepago,61.0,0,0,0,1,9,0,0,0,0,secundaria completa,6.0,0,0,1,0,6,6,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,1,1,4,5,1,1,1,1,1,0,cemento,casa independiente,piedra o sillar con cal o cemento,concreto armado,4.0,"propia, totalmente pagada",0,55479.0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_005511_048_11,005511,048,11,040103,803.9254,0,1,conexion a internet,conexion fija,pase,conexion movil prepago,65.0,2,0,0,1,4,0,0,0,0,primaria completa,4.0,0,0,1,1,2,2,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,1,1,1,1,1,3,3,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,33102.62890625,290,290.0,0,1,0,290,0.0,0.0,0,0,0,0,0,0,0,0,0
040103_005511_065_11,005511,065,11,040103,803.9254,0,1,conexion a internet,conexion fija,conexion movil post pago control,pase,62.0,0,0,0,1,3,0,0,0,0,secundaria completa,6.0,0,0,1,1,1,1,1,1,0,gas (balon glp),0, de 500 000 a más habitantes,0,0,0,2,0,0,0,1,1,1,1,1,0,cemento,casa independiente,ladrillo o bloque de cemento,concreto armado,4.0,"propia, totalmente pagada",0,27962.529296875,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0
