hogar_id,conglome,vivienda,hogar,ubigeo,departamento_codigo,provincia_codigo,distrito_codigo,dominio_geografico,estrato_geografico,area_urbana_rural,area_rural_bin,factor_expansion_anual,target_pobreza_monetaria_bin,nivel_educativo_jefe_ord,usa_combustible_limpio,num_habitaciones,num_miembros_afiliados_essalud,material_techo,num_ninos_0_5,tam_hogar,edad_jefe,piso_precario,tenencia_vivienda,num_ninos_6_16,acceso_internet_hogar,num_miembros_sin_atencion_salud,tipo_vivienda,material_pared,acceso_desague_red,num_6_16_no_matriculados
040104_005480_006_11,005480,006,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,212.44038,0,1.0,1,4.0,3,concreto armado,0,5,45.0,0,"propia, totalmente pagada",1,1,2,casa independiente,ladrillo o bloque de cemento,1,1
040104_005480_021_11,005480,021,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,212.44038,0,4.0,1,2.0,2,concreto armado,0,4,40.0,0,"propia, totalmente pagada",0,1,2,casa independiente,ladrillo o bloque de cemento,1,0
040104_005480_051_11,005480,051,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,212.44038,0,6.0,1,3.0,0,concreto armado,0,4,42.0,0,"propia, totalmente pagada",2,1,2,casa independiente,ladrillo o bloque de cemento,1,2
040104_005480_063_11,005480,063,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,212.44038,0,9.0,1,4.0,0,concreto armado,0,6,52.0,0,"propia, totalmente pagada",2,1,4,casa independiente,ladrillo o bloque de cemento,1,0
040104_005480_079_11,005480,079,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,212.44038,0,6.0,1,1.0,1,"planchas de calamina, fibra de cemento o similares",0,1,57.0,0,"propia, totalmente pagada",0,0,0,casa independiente,ladrillo o bloque de cemento,1,0
040104_005480_094_11,005480,094,11,040104,04,0401,040104,sierra sur, de 500 000 a más habitantes,urbana,0,212.44038,0,6.0,1,3.0,0,concreto armado,0,3,52.0,0,"propia, totalmente pagada",1,1,3,casa independiente,ladrillo o bloque de cemento,1,1
040103_005511_013_11,005511,013,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,803.9254,0,7.0,1,4.0,3,concreto armado,0,3,45.0,0,"propia, totalmente pagada",1,1,1,"vivienda en casa de vecindad (callejon, solar o corralon)",ladrillo o bloque de cemento,1,0
040103_005511_032_11,005511,032,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,803.9254,1,6.0,1,4.0,1,concreto armado,0,9,61.0,0,"propia, totalmente pagada",0,1,5,casa independiente,piedra o sillar con cal o cemento,1,0
040103_005511_048_11,005511,048,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,803.9254,0,4.0,1,4.0,1,concreto armado,0,4,65.0,0,"propia, totalmente pagada",0,1,3,casa independiente,ladrillo o bloque de cemento,1,0
040103_005511_065_11,005511,065,11,040103,04,0401,040103,sierra sur, de 500 000 a más habitantes,urbana,0,803.9254,0,6.0,1,4.0,2,concreto armado,0,3,62.0,0,"propia, totalmente pagada",0,1,0,casa independiente,ladrillo o bloque de cemento,1,0
