col_a,col_b,corr,abs_corr
totmieho,personas_con_mod_salud,1.0,1.0
totmieho,miembros_sin_atencion_salud,1.0,1.0
any_6_16_no_matriculados,children_not_enrolled,1.0,1.0
personas_con_mod_salud,miembros_sin_atencion_salud,1.0,1.0
any_6_16_no_asisten,children_not_attending,1.0,1.0
ga04hd,p106,0.9996344399049626,0.9996344399049626
ia01hd,ga04hd,0.9995895765387361,0.9995895765387361
ia01hd,p106,0.9991924328964545,0.9991924328964545
insedthd,insedlhd,0.9987239268469114,0.9987239268469114
ingmo1hd,ingmo2hd,0.9923962460611127,0.9923962460611127
totmieho,tam_hogar,0.9914215297239775,0.9914215297239775
personas_con_mod_salud,tam_hogar,0.9914215297239775,0.9914215297239775
miembros_sin_atencion_salud,tam_hogar,0.9914215297239775,0.9914215297239775
ingbruhd,ingnethd,0.9850957955165119,0.9850957955165119
ingtpuhd,ingtpu02,0.9845939584826828,0.9845939584826828
personas_con_mod_educ,personas_con_mod_salud,0.9823415374463847,0.9823415374463847
personas_con_mod_educ,miembros_sin_atencion_salud,0.9823415374463847,0.9823415374463847
totmieho,personas_con_mod_educ,0.9823415374463846,0.9823415374463846
ingmo2hd,inghog2d,0.9785461287246694,0.9785461287246694
n_ninos_6_16,n_6_16_total,0.9782933543323655,0.9782933543323655
ingmo1hd,inghog2d,0.9760876450407793,0.9760876450407793
personas_con_mod_educ,tam_hogar,0.973463283166669,0.973463283166669
n_6_16_no_asisten,children_not_attending,0.9426893837807789,0.9426893837807789
n_6_16_no_asisten,any_6_16_no_asisten,0.9426893837807789,0.9426893837807789
gashog1d,gasto_hogar,0.9424402919764444,0.9424402919764444
n_6_16_total,n_6_16_matriculados,0.9262864225930373,0.9262864225930373
combustible_limpio,combustible_precario,-0.9212057240538238,0.9212057240538238
ld,lineav,0.9210557581441512,0.9210557581441512
n_6_16_no_matriculados,any_6_16_no_matriculados,0.9124271188528514,0.9124271188528514
n_6_16_no_matriculados,children_not_enrolled,0.9124271188528514,0.9124271188528514
n_ninos_6_16,n_6_16_matriculados,0.9057753207654263,0.9057753207654263
