variable,target_pobreza_bin,count,mean,median,std,min,max
totmieho,0,1310,3.0900763358778627,3.0,1.5466692057644067,1.0,9.0
totmieho,1,207,3.8792270531400965,4.0,1.8433568423386217,1.0,10.0
ia01hd,0,1310,5020.324427480916,2964.0,5661.253392637025,0.0,43369.0
ia01hd,1,207,1442.0169082125603,959.0,1528.316442686059,0.0,11193.5
ia02hd,0,1310,11.24732780456543,0.0,138.48252868652344,0.0,2468.0
ia02hd,1,207,26.50241470336914,0.0,237.5648956298828,0.0,2905.0
ig03hd1,0,1310,131.4564885496183,0.0,2226.6305061720327,0.0,49267.0
ig03hd1,1,207,0.0,0.0,0.0,0.0,0.0
ig03hd2,0,1310,400.0900763358779,0.0,8277.399287064907,0.0,278392.0
ig03hd2,1,207,192.1256038647343,0.0,2764.206082349954,0.0,39770.0
ig03hd3,0,1310,536.3961832061069,0.0,4147.63381432588,0.0,79313.0
ig03hd3,1,207,45.067632850241544,0.0,379.77265205416353,0.0,4415.0
ig03hd4,0,1310,11.265648854961832,0.0,407.7480175323069,0.0,14758.0
ig03hd4,1,207,0.0,0.0,0.0,0.0,0.0
ga03hd,0,1310,400.8858642578125,0.0,1878.7037353515625,0.0,29370.0
ga03hd,1,207,90.95169067382812,0.0,401.0533447265625,0.0,2425.0
ga04hd,0,1310,5031.571755725191,2964.0,5652.959458548777,0.0,43369.0
ga04hd,1,207,1468.5193236714977,973.0,1521.6383686236036,0.0,11193.5
sg23,0,1310,16.89738655090332,0.0,144.35443115234375,0.0,2259.24951171875
sg23,1,207,46.94442367553711,0.0,316.78436279296875,0.0,3581.6318359375
sig24,0,1310,1.6036641597747803,0.0,46.166839599609375,0.0,1592.0
sig24,1,207,4.484057903289795,0.0,64.51435852050781,0.0,928.2000122070312
sg25,0,1310,20.136322021484375,0.0,89.357421875,0.0,1154.5914306640625
sg25,1,207,65.21797943115234,0.0,155.63328552246094,0.0,985.28466796875
sig26,0,1310,5.934274673461914,0.0,74.60977172851562,0.0,1592.0
sig26,1,207,20.759902954101562,0.0,155.04339599609375,0.0,1592.0
sg27,0,1310,1.9637728929519653,0.0,34.69890213012695,0.0,942.8147583007812
sg27,1,207,5.373289108276367,0.0,46.473876953125,0.0,525.103271484375
sig28,0,1310,0.841984748840332,0.0,21.9678897857666,0.0,661.7999877929688
sig28,1,207,0.0,0.0,0.0,0.0,0.0
sg42,0,1310,187.45106506347656,79.67794036865234,253.27748107910156,0.0,1657.0809326171875
sg42,1,207,54.79338073730469,4.190465450286865,99.43590545654297,0.0,589.6168823242188
sg421,0,1310,106.2801284790039,79.75543975830078,113.85575103759766,0.0,818.2074584960938
sg421,1,207,43.92646408081055,16.08587646484375,62.241294860839844,0.0,296.5392150878906
sg422,0,1310,483.0231018066406,0.0,1380.0430908203125,0.0,17489.2578125
sg422,1,207,50.22367858886719,0.0,222.2306365966797,0.0,1673.72998046875
sg42d,0,1310,17.596668243408203,0.0,62.16638946533203,0.0,652.3251953125
sg42d,1,207,6.882930278778076,0.0,22.62906265258789,0.0,172.71737670898438
sg42d1,0,1310,9.470407485961914,0.0,30.98995590209961,0.0,417.73699951171875
sg42d1,1,207,3.5397751331329346,0.0,16.892473220825195,0.0,190.36557006835938
sg42d2,0,1310,16.285308837890625,0.0,193.74586486816406,0.0,4017.64404296875
sg42d2,1,207,0.3283860981464386,0.0,3.029301166534424,0.0,34.95962905883789
ingbruhd,0,1310,19046.789455734135,12294.0,24532.6683187448,0.0,278821.0
ingbruhd,1,207,10779.251594580313,6173.0,13608.572188302134,0.0,91815.0
ingnethd,0,1310,16867.57049103948,11670.5,20568.286633515458,0.0,223739.0
ingnethd,1,207,10446.974047969505,6173.0,12888.282660326908,0.0,78421.0
pagesphd,0,1310,1392.2259541984733,0.0,3579.8805167523033,0.0,30535.0
pagesphd,1,207,366.34299516908214,0.0,1267.5457301019658,0.0,10482.0
ingindhd,0,1310,11289.109359904282,1794.5,23596.596855258027,0.0,321159.0
