variable,lower_iqr,upper_iqr,outlier_count,outlier_pct
totmieho,-1.0,7.0,14,0.9229
ia01hd,-6693.5,13742.5,98,6.4601
ia02hd,0.0,0.0,14,0.9229
ig03hd1,0.0,0.0,5,0.3296
ig03hd2,0.0,0.0,8,0.5274
ig03hd3,0.0,0.0,39,2.5709
ig03hd4,0.0,0.0,1,0.0659
ga03hd,0.0,0.0,113,7.4489
ga04hd,-6663.5,13724.5,98,6.4601
sg23,0.0,0.0,41,2.7027
sig24,0.0,0.0,3,0.1978
sg25,0.0,0.0,176,11.6018
sig26,0.0,0.0,13,0.857
sg27,0.0,0.0,9,0.5933
sig28,0.0,0.0,2,0.1318
sg42,-376.70248180627823,632.9348191618919,92,6.0646
sg421,-199.95131921768188,359.30814504623413,51,3.3619
sg422,-58.00390434265137,96.67317390441895,344,22.6763
sg42d,0.0,0.0,264,17.4028
sg42d1,0.0,0.0,280,18.4575
sg42d2,0.0,0.0,57,3.7574
ingbruhd,-43095.0,71825.0,51,3.3619
ingnethd,-38994.0,64990.0,39,2.5709
pagesphd,-472.5,787.5,330,21.7535
ingindhd,-20631.0,34385.0,114,7.5148
ingauthd,-183.0,305.0,316,20.8306
insedthd,0.0,0.0,122,8.0422
insedlhd,0.0,0.0,122,8.0422
paesechd,0.0,0.0,36,2.3731
ingseihd,0.0,0.0,235,15.4911
isecauhd,0.0,0.0,96,6.3283
ingexthd,0.0,0.0,369,24.3243
ingtrahd,-5050.5,8417.5,167,11.0086
ingtexhd,0.0,0.0,7,0.4614
ingrenhd,0.0,0.0,122,8.0422
ingoexhd,-312.0,520.0,320,21.0943
g05hd,-6845.694580078125,11409.490966796875,76,5.0099
ig06hd,0.0,0.0,89,5.8668
g05hd1,0.0,0.0,25,1.648
ig06hd1,0.0,0.0,266,17.5346
g05hd2,0.0,0.0,63,4.1529
ig06hd2,0.0,0.0,14,0.9229
g07hd,-2062.568920135498,3713.998188018799,82,5.4054
ig08hd,0.0,0.0,25,1.648
ingtprhd,0.0,0.0,317,20.8965
ingtpuhd,-316.5,527.5,322,21.2261
ingtpu01,0.0,0.0,38,2.5049
ingtpu02,0.0,0.0,222,14.6341
ingtpu03,0.0,0.0,54,3.5597
ingtpu04,0.0,0.0,5,0.3296
ingtpu05,0.0,0.0,55,3.6256
ingtpu10,0.0,0.0,41,2.7027
ingtpu12,0.0,0.0,5,0.3296
ingtpu13,0.0,0.0,6,0.3955
ingtpu14,0.0,0.0,3,0.1978
ingtpu16,0.0,0.0,69,4.5485
gru14hd1,0.0,0.0,31,2.0435
gru14hd2,0.0,0.0,5,0.3296
gru14hd4,0.0,0.0,63,4.1529
gru42hd1,0.0,0.0,87,5.735
gru42hd2,0.0,0.0,14,0.9229
gru43hd1,0.0,0.0,2,0.1318
gru43hd2,-20.814820289611816,34.69136714935303,200,13.1839
