variable,abs_corr_target
gasto_hogar,0.3237594127189987
gashog1d,0.2881116253480708
combustible_limpio,0.2738341633885207
combustible_precario,0.25570150829755234
p106,0.24447851967498765
educ_jefe_ord,0.22654493478708193
ia01hd,0.2262244066270205
ga04hd,0.22562982902459802
g05hd,0.20216565339124107
piso_precario,0.19836005107120303
inghog2d,0.1977261339710122
sg421,0.19402302457816853
p104,0.1891796279053159
gru81hd,0.18892585135383774
sg42,0.18784060719504014
n_6_16_total,0.17965292525853085
internet_hogar,0.17925810338274267
tam_hogar,0.17256691345778669
n_ninos_0_5,0.17008382267155944
n_ninos_6_16,0.16931100629522444
miembros_sin_atencion_salud,0.16803224913868287
personas_con_mod_salud,0.16803224913868287
totmieho,0.16803224913868287
miembros_afiliados_essalud,0.16741768712248578
n_6_16_matriculados,0.1670774324771929
ingmo1hd,0.1624228199654046
g07hd,0.16233676297270594
ingmo2hd,0.15689041269901366
sg25,0.15161097323470665
personas_con_mod_educ,0.14299264393649225
gru71hd,0.14084311154617363
ingtpu01,0.1329950089706747
acceso_desague_red,0.12955286565411447
ingtpu05,0.12787994120752563
agua_segura_proxy,0.12629602911064985
ingtpu03,0.12369760628488222
ingbruhd,0.1207347951575843
acceso_agua_red,0.11607680778124609
sg422,0.1148900823108772
ingexthd,0.11478842498903219
ingnethd,0.11125296739688663
miembros_con_enfermedad_4w,0.10783372839852433
pagesphd,0.10429655504880173
ld,0.10187709649645776
ingtpu13,0.09738947535000256
agua_potable_reportada,0.09722384368677421
ingtpu02,0.0911920260532974
area_rural_bin,0.0834927417775878
factor07,0.08322888676485284
ingtrahd,0.08150174807131479
ingtpu10,0.0785893027773823
any_enfermedad_4w,0.07769169975739677
miembros_con_sintoma_4w,0.07629566104262743
ingtpuhd,0.07517787498732935
acceso_electricidad,0.07104812878141795
agua_disponible_diaria,0.0706708218398605
sg42d1,0.06895720924560239
jefe_con_ingreso_laboral,0.06869443695407353
ig06hd1,0.06849223329460354
sg42d,0.06290731095574544
ingrenhd,0.06174289236146618
g05hd2,0.06089532202967072
ga03hd,0.060634226989410685
gru83hd2,0.05896150699993956
sg23,0.05791709375115374
gru73hd2,0.0568421197445333
sig26,0.05656904529453477
ingindhd,0.05562039286516993
personas_con_mod_empleo,0.05456891627518545
any_ingreso_laboral_hogar,0.05198117081513809
gru82hd1,0.051944893086403994
ig06hd,0.05090660185739579
ingtpu16,0.05087967872290959
any_6_16_no_matriculados,0.0498699292149973
children_not_enrolled,0.0498699292149973
ingoexhd,0.04513988931979488
ingseihd,0.04490582721807263
gru42hd1,0.044271404756069464
ig03hd3,0.04370471753215217
n_6_16_no_matriculados,0.04229044821524714
ingtprhd,0.037633738824831495
edad_jefe,0.0354119035252628
g05hd1,0.03497728707368409
gru14hd4,0.034748020303983836
lineav,0.03471989173866404
ia02hd,0.03363495034602671
gru83hd3,0.03247928279661988
sg27,0.03204918094384763
miembros_con_ingreso_laboral,0.030804218785791412
gru84hd1,0.030673726343763835
isecauhd,0.030464395382398847
sg42d2,0.03042044077209144
any_sintoma_4w,0.030190126555941586
gru72hd1,0.029411351502529295
ingauthd,0.027056722692328828
gru86hd1,0.026700099809265274
gru14hd1,0.02669476393150057
gru43hd2,0.024509026715932313
gru83hd1,0.023297724870057678
gru42hd2,0.02246578901142714
ig03hd1,0.021811661402997937
ingtpu04,0.020594839681213565
sig24,0.020160532038437706
ingtpu12,0.01924800540437641
ingtpu14,0.01769317088827711
gru14hd2,0.017359108378461382
gru84hd,0.01711885627731675
gru82hd2,0.016473414667132636
gru74hd,0.016385618328244256
ingtexhd,0.015687894459798107
ig08hd,0.015677603146313782
sig28,0.01416219315360074
gru85hd1,0.013671946170363908
gru73hd3,0.012500100037891398
children_not_attending,0.012103466392773599
any_6_16_no_asisten,0.012103466392773599
gru73hd1,0.01151906098754251
paesechd,0.010697050549937373
gru87hd,0.0102093930564061
ig03hd4,0.010209393056406096
gru83hd4,0.010209393056406092
ig03hd2,0.009203587521356107
sexo_jefe_bin,0.00861300826906058
ig06hd2,0.007797019034843939
num_perceptores,0.007788104464990956
insedthd,0.007334198778785373
insedlhd,0.006576057905456866
gru43hd1,0.0034397114074104463
n_adultos_65_mas,0.0016094987041219634
n_6_16_no_asisten,0.0006031408024881461
saneamiento_inadecuado,8.802178792611951e-05
gru43hd3,6.441721539661254e-05
