feature_set,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
all48_full,LightGBM,smote,0.2,0.6229965156794426,0.42530254807197565,0.5030385637891313,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,smote,0.25,0.5556329849012777,0.43508528088896725,0.48503924295844847,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,smote,0.3,0.5314750290360046,0.4582333712462682,0.48973738271056577,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,smote,0.35,0.49767711962833916,0.4776055841273233,0.48400911104965766,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,smote,0.4,0.44436701509872245,0.4884338129987042,0.46291002254560365,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,smote,0.45,0.4153310104529617,0.5039749657491593,0.45380052046718716,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,smote,0.5,0.38153310104529614,0.5213073593073594,0.4389258403995246,0.8529350746070165,0.4966516240587091
all48_full,LightGBM,weighted,0.2,0.7289198606271776,0.3824748720224166,0.501298908428095,0.8476412125080902,0.473475032713636
all48_full,LightGBM,weighted,0.25,0.6951219512195121,0.3942509021189887,0.5024997964603651,0.8476412125080902,0.473475032713636
all48_full,LightGBM,weighted,0.3,0.6518002322880372,0.3985827027285119,0.4939474001216963,0.8476412125080902,0.473475032713636
all48_full,LightGBM,weighted,0.35,0.5938443670150987,0.39818177452088166,0.4763625731958914,0.8476412125080902,0.473475032713636
all48_full,LightGBM,weighted,0.4,0.5745644599303136,0.4251058201058201,0.4884759281513544,0.8476412125080902,0.473475032713636
all48_full,LightGBM,weighted,0.45,0.5312427409988386,0.43807695385846646,0.48009925558312655,0.8476412125080902,0.473475032713636
all48_full,LightGBM,weighted,0.5,0.5069686411149826,0.4673872445384074,0.48616802315927404,0.8476412125080902,0.473475032713636
all48_full,Logistic,smote,0.2,0.9031358885017422,0.2922821647700654,0.4412520194774241,0.8548252963445666,0.5064116551316907
all48_full,Logistic,smote,0.25,0.8596980255516842,0.3058873515408437,0.45070162051987717,0.8548252963445666,0.5064116551316907
all48_full,Logistic,smote,0.3,0.8452961672473867,0.32237364606196445,0.46612079781834537,0.8548252963445666,0.5064116551316907
all48_full,Logistic,smote,0.35,0.8066202090592334,0.33703813244992953,0.474622797290873,0.8548252963445666,0.5064116551316907
all48_full,Logistic,smote,0.4,0.773054587688734,0.3512471007433343,0.4807352211655257,0.8548252963445666,0.5064116551316907
all48_full,Logistic,smote,0.45,0.748780487804878,0.3661631548459505,0.4901894240948151,0.8548252963445666,0.5064116551316907
all48_full,Logistic,smote,0.5,0.7200929152148664,0.38845890292474883,0.5024804448288507,0.8548252963445666,0.5064116551316907
all48_full,Logistic,weighted,0.2,0.9082462253193959,0.264150980885178,0.4090679326386811,0.8571800941564487,0.507086255298363
all48_full,Logistic,weighted,0.25,0.8743321718931474,0.28927959423612226,0.43431753129891176,0.8571800941564487,0.507086255298363
all48_full,Logistic,weighted,0.3,0.8405342624854819,0.30304200807724857,0.44505653078998036,0.8571800941564487,0.507086255298363
all48_full,Logistic,weighted,0.35,0.8114982578397212,0.3148432659102865,0.45334109577635245,0.8571800941564487,0.507086255298363
all48_full,Logistic,weighted,0.4,0.8019744483159117,0.3379080294193427,0.4749341991678116,0.8571800941564487,0.507086255298363
all48_full,Logistic,weighted,0.45,0.7779326364692218,0.3600757455906957,0.49117230501954195,0.8571800941564487,0.507086255298363
all48_full,Logistic,weighted,0.5,0.7249709639953542,0.37698152574812915,0.493561603745976,0.8571800941564487,0.507086255298363
all48_full,RandomForest,smote,0.2,0.9228803716608596,0.2243093538710796,0.36067969152433466,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,smote,0.25,0.864924506387921,0.2482220181157989,0.38536977587825694,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,smote,0.3,0.8358885017421602,0.27584514539925176,0.4143900543900544,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,smote,0.35,0.7778164924506388,0.30342850854279135,0.4361178883617286,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,smote,0.4,0.7344947735191638,0.3336795431093152,0.45831067366909284,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,smote,0.45,0.6184668989547039,0.3540980201233366,0.4497560303812243,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,smote,0.5,0.5364692218350754,0.3973601151050804,0.45512754466681493,0.8243747284801092,0.4386744233131713
all48_full,RandomForest,weighted,0.2,0.9759581881533101,0.20286076049853138,0.33583373639197955,0.8404996852585755,0.4714839883826403
all48_full,RandomForest,weighted,0.25,0.951800232288037,0.22090686091202777,0.3584925952789668,0.8404996852585755,0.4714839883826403
all48_full,RandomForest,weighted,0.3,0.8986062717770036,0.23911701549756473,0.3776022386697643,0.8404996852585755,0.4714839883826403
all48_full,RandomForest,weighted,0.35,0.8646922183507548,0.2664514672270147,0.4072249719854096,0.8404996852585755,0.4714839883826403
all48_full,RandomForest,weighted,0.4,0.8210220673635307,0.30150139656431485,0.4407826562651758,0.8404996852585755,0.4714839883826403
all48_full,RandomForest,weighted,0.45,0.772938443670151,0.3397447113545079,0.4717788761444064,0.8404996852585755,0.4714839883826403
all48_full,RandomForest,weighted,0.5,0.6908246225319397,0.3874090272629932,0.4963112498663308,0.8404996852585755,0.4714839883826403
all48_full,Tree,smote,0.2,0.7252032520325203,0.23013667317573616,0.3458012573517085,0.7292585401317482,0.3036588488555536
all48_full,Tree,smote,0.25,0.6716608594657375,0.24981791143762125,0.3592897485882339,0.7292585401317482,0.3036588488555536
all48_full,Tree,smote,0.3,0.61869918699187,0.26874492353496626,0.37073752009988936,0.7292585401317482,0.3036588488555536
all48_full,Tree,smote,0.35,0.6089430894308944,0.27627709455411426,0.37486153799761557,0.7292585401317482,0.3036588488555536
all48_full,Tree,smote,0.4,0.5656213704994193,0.2939594333017589,0.3856233317308922,0.7292585401317482,0.3036588488555536
all48_full,Tree,smote,0.45,0.5074332171893148,0.3237516586695103,0.39380206848651006,0.7292585401317482,0.3036588488555536
all48_full,Tree,smote,0.5,0.4684088269454123,0.3205056383073903,0.37741229986944275,0.7292585401317482,0.3036588488555536
all48_full,Tree,weighted,0.2,0.8304297328687573,0.2594144574538784,0.39297981541013766,0.7926866948604055,0.389728882913375
all48_full,Tree,weighted,0.25,0.8066202090592334,0.26424539479760173,0.3965642400782164,0.7926866948604055,0.389728882913375
all48_full,Tree,weighted,0.3,0.8017421602787456,0.26415626823788696,0.3959241564754601,0.7926866948604055,0.389728882913375
all48_full,Tree,weighted,0.35,0.767711962833914,0.2744438352826511,0.40241850019136993,0.7926866948604055,0.389728882913375
all48_full,Tree,weighted,0.4,0.7533101045296167,0.2896227769682314,0.41647016032917294,0.7926866948604055,0.389728882913375
all48_full,Tree,weighted,0.45,0.7436701509872241,0.30015913818061735,0.42610824573468253,0.7926866948604055,0.389728882913375
all48_full,Tree,weighted,0.5,0.7389082462253194,0.2989406507856594,0.4241298698432631,0.7926866948604055,0.389728882913375
all48_full,XGBoost,smote,0.2,0.5897793263646922,0.4167580057156302,0.4874427035407554,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,smote,0.25,0.5704994192799071,0.44937649953950565,0.501218146576838,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,smote,0.3,0.5463414634146342,0.4823984526112186,0.5117222487440042,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,smote,0.35,0.5173054587688733,0.5131205499694789,0.5138330841238419,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,smote,0.4,0.46887340301974445,0.5424733696536022,0.5011171171171172,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,smote,0.45,0.40603948896631825,0.543855212887471,0.46291998215865293,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,smote,0.5,0.37700348432055747,0.5714829749103942,0.45183075349937346,0.8609193109379294,0.5039584206259207
all48_full,XGBoost,weighted,0.2,0.7384436701509872,0.38795416389902077,0.5077201735645758,0.864498053922742,0.4962689071327537
