usa_combustible_limpio,usa_combustible_precario,dispositivo_servicio_digital_2,material_techo,nivel_educativo_jefe_ord,dispositivo_servicio_digital_3,piso_precario,ingreso_neto_total_hogar,num_habitaciones,acceso_internet_hogar_derivado,dispositivo_servicio_digital_1,material_pared,tam_hogar,num_ninos_0_5,num_ninos_6_16,num_miembros_afiliados_essalud,estrato_geografico,monto_juntos,acceso_desague_red,monto_bono_gas,y_true,y_score,y_pred
1,0,conexion movil post pago control,"planchas de calamina, fibra de cemento o similares",8.0,pase,0,34780.7421875,1.0,1,pase,ladrillo o bloque de cemento,2,1,0,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.22141569333983463,1
1,0,pase,concreto armado,8.0,conexion movil prepago,0,43704.8203125,12.0,1,pase,ladrillo o bloque de cemento,5,0,2,0, de 500 000 a más habitantes,0,1,0,0,0.2375378700839344,1
1,0,conexion movil post pago control,concreto armado,6.0,pase,0,28641.833984375,1.0,1,pase,ladrillo o bloque de cemento,3,1,0,1, de 500 000 a más habitantes,0,0,0,0,0.21291493508047954,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,59882.25390625,2.0,1,pase,adobe,7,0,4,0,area de empadronamiento rural (aer) compuesto,0,0,0,0,0.926997656920095,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,30944.251953125,2.0,1,pase,"madera (pona, tornillo, etc)",4,1,1,0,de 2 000 a 19 999 habitantes,0,0,0,0,0.6216983820467621,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,12836.060546875,5.0,1,conexion fija,adobe,4,0,1,0, de 500 a 1 999 habitantes,0,1,0,0,0.7828115786241198,1
1,0,pase,concreto armado,4.0,conexion movil prepago,0,53502.43359375,2.0,1,conexion fija,ladrillo o bloque de cemento,5,1,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.7651211331172045,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,32710.984375,1.0,1,pase,ladrillo o bloque de cemento,4,1,1,0, de 500 a 1 999 habitantes,0,1,0,0,0.6583989436767285,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,1,20567.216796875,1.0,1,pase,adobe,4,0,2,0,area de empadronamiento rural (aer) compuesto,0,0,0,0,0.908471344771649,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,32348.0703125,1.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,0,1,0,0,0.67614841346181,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,35115.51171875,1.0,1,pase,piedra o sillar con cal o cemento,3,0,1,0, de 500 000 a más habitantes,0,1,0,0,0.23063627353784982,1
0,1,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,13249.068359375,1.0,1,pase,ladrillo o bloque de cemento,1,0,0,1,de 2 000 a 19 999 habitantes,0,0,0,0,0.6019282553103357,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,19571.0546875,3.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.45064044383159585,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,28063.771484375,3.0,1,pase,ladrillo o bloque de cemento,5,1,2,0, de 20 000 a 49 999 habitantes,1216,0,0,0,0.9170585025882382,1
0,1,,"planchas de calamina, fibra de cemento o similares",6.0,,1,5369.2705078125,1.0,0,,piedra o sillar con cal o cemento,1,0,0,0,area de empadronamiento rural (aer) simple,0,0,0,0,0.5169072871262039,1
1,0,pase,concreto armado,4.0,conexion movil prepago,0,21172.439453125,4.0,1,pase,ladrillo o bloque de cemento,3,0,1,0, de 500 000 a más habitantes,1194,0,0,0,0.3884291517589746,1
0,1,conexion movil post pago control,concreto armado,5.0,pase,1,30896.033203125,3.0,1,pase,adobe,2,0,0,0, de 500 a 1 999 habitantes,0,1,0,0,0.28114246270980026,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",6.0,conexion movil prepago,0,11608.6142578125,2.0,1,pase,ladrillo o bloque de cemento,1,0,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.2539597882957215,1
1,0,pase,concreto armado,3.0,conexion movil prepago,0,28460.826171875,5.0,1,pase,ladrillo o bloque de cemento,3,1,1,3, de 20 000 a 49 999 habitantes,0,1,0,0,0.4468049320060489,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",3.0,conexion movil prepago,0,35203.95703125,2.0,1,pase,piedra o sillar con cal o cemento,3,1,0,0, de 500 000 a más habitantes,0,1,0,0,0.5198894575539174,1
1,0,conexion movil post pago control,concreto armado,8.0,pase,0,35918.92578125,2.0,1,conexion fija,ladrillo o bloque de cemento,5,1,2,5, de 20 000 a 49 999 habitantes,0,1,0,0,0.41987826003353684,1
1,0,,concreto armado,4.0,,0,21222.419921875,3.0,1,conexion fija,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,1,0,0,0.22148823380407126,1
1,0,pase,concreto armado,1.0,conexion movil prepago,0,21651.052734375,2.0,1,pase,ladrillo o bloque de cemento,2,0,0,0,de 2 000 a 19 999 habitantes,0,1,0,0,0.7109818636226535,1
1,0,pase,concreto armado,6.0,conexion movil prepago,0,84872.8984375,4.0,1,conexion fija,ladrillo o bloque de cemento,6,1,0,1, de 500 000 a más habitantes,0,1,0,0,0.37882614453757874,1
1,0,,concreto armado,5.0,,0,26323.0859375,2.0,0,,ladrillo o bloque de cemento,3,0,1,0, de 500 000 a más habitantes,0,1,0,0,0.6426257723648025,1
1,0,pase,"planchas de calamina, fibra de cemento o similares",5.0,conexion movil prepago,0,20822.19140625,1.0,1,pase,ladrillo o bloque de cemento,3,1,0,0, de 20 000 a 49 999 habitantes,0,0,0,0,0.7610424216163356,1
