escenario,modelo_familia,modelo,estrategia,threshold,accuracy,precision,recall,f1,roc_auc,pr_auc,confusion_matrix,tn,fp,fn,tp
top30_full,RandomForestClassifier,RandomForest__weighted,weighted,0.2,,0.20348589808987091,0.9711962833914054,0.3363659721294376,0.8422817423375978,0.4956227930180114,,,,,
top30_full,RandomForestClassifier,RandomForest__weighted,weighted,0.25,,0.22216023738075746,0.9519163763066201,0.36008804974625874,0.8422817423375978,0.4956227930180114,,,,,
top30_full,RandomForestClassifier,RandomForest__smote,smote,0.2,,0.22677324130598028,0.9372822299651566,0.36491967323303215,0.8229517426035764,0.43885857878638684,,,,,
top30_full,LogisticRegression,Logistic__weighted,weighted,0.2,,0.2538601771867492,0.9321718931475029,0.39880618354972824,0.8608545894619251,0.5320793637526717,,,,,
top30_full,LogisticRegression,Logistic__smote,smote,0.2,,0.2701024356674676,0.9127758420441348,0.416570790030166,0.8623418535166814,0.546921558155333,,,,,
top30_full,LogisticRegression,Logistic__weighted,weighted,0.25,,0.2726416194384731,0.8986062717770036,0.41792121101997753,0.8608545894619251,0.5320793637526717,,,,,
top30_full,RandomForestClassifier,RandomForest__weighted,weighted,0.3,,0.23748668891181618,0.8984901277584205,0.3754801542360325,0.8422817423375978,0.4956227930180114,,,,,
top30_full,LogisticRegression,Logistic__smote,smote,0.25,,0.28800036894280756,0.8936120789779327,0.43504295384402675,0.8623418535166814,0.546921558155333,,,,,
top30_full,LogisticRegression,Logistic__weighted,weighted,0.3,,0.2949453046087561,0.8793263646922183,0.44116689353098393,0.8608545894619251,0.5320793637526717,,,,,
top30_full,LogisticRegression,Logistic__smote,smote,0.3,,0.3035222867197942,0.8696864111498257,0.4494019931807827,0.8623418535166814,0.546921558155333,,,,,
