feature_set,fold,model,strategy,threshold,recall,precision,f1,roc_auc,pr_auc
top30_full,1,Logistic,weighted,0.2,0.9523809523809523,0.2702702702702703,0.42105263157894735,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,weighted,0.25,0.8809523809523809,0.29365079365079366,0.44047619047619047,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,weighted,0.3,0.8571428571428571,0.32432432432432434,0.47058823529411764,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,weighted,0.35,0.8333333333333334,0.3431372549019608,0.4861111111111111,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,weighted,0.4,0.8095238095238095,0.3617021276595745,0.5,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,weighted,0.45,0.7380952380952381,0.3563218390804598,0.4806201550387597,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,weighted,0.5,0.7142857142857143,0.37037037037037035,0.4878048780487805,0.8520537986186841,0.42388873454805925
top30_full,1,Logistic,smote,0.2,0.9285714285714286,0.291044776119403,0.4431818181818182,0.8510541621228644,0.45747535263692307
top30_full,1,Logistic,smote,0.25,0.9047619047619048,0.31932773109243695,0.4720496894409938,0.8510541621228644,0.45747535263692307
top30_full,1,Logistic,smote,0.3,0.8095238095238095,0.32075471698113206,0.4594594594594595,0.8510541621228644,0.45747535263692307
top30_full,1,Logistic,smote,0.35,0.7619047619047619,0.3368421052631579,0.46715328467153283,0.8510541621228644,0.45747535263692307
top30_full,1,Logistic,smote,0.4,0.7380952380952381,0.36046511627906974,0.484375,0.8510541621228644,0.45747535263692307
top30_full,1,Logistic,smote,0.45,0.6904761904761905,0.3625,0.47540983606557374,0.8510541621228644,0.45747535263692307
top30_full,1,Logistic,smote,0.5,0.6428571428571429,0.36,0.46153846153846156,0.8510541621228644,0.45747535263692307
top30_full,1,Tree,weighted,0.2,0.9047619047619048,0.20430107526881722,0.3333333333333333,0.788576881134133,0.37142016177282056
top30_full,1,Tree,weighted,0.25,0.8571428571428571,0.23225806451612904,0.36548223350253806,0.788576881134133,0.37142016177282056
top30_full,1,Tree,weighted,0.3,0.8095238095238095,0.27419354838709675,0.40963855421686746,0.788576881134133,0.37142016177282056
top30_full,1,Tree,weighted,0.35,0.8095238095238095,0.27419354838709675,0.40963855421686746,0.788576881134133,0.37142016177282056
top30_full,1,Tree,weighted,0.4,0.7857142857142857,0.2796610169491525,0.4125,0.788576881134133,0.37142016177282056
top30_full,1,Tree,weighted,0.45,0.7619047619047619,0.2857142857142857,0.4155844155844156,0.788576881134133,0.37142016177282056
top30_full,1,Tree,weighted,0.5,0.7380952380952381,0.27927927927927926,0.40522875816993464,0.788576881134133,0.37142016177282056
top30_full,1,Tree,smote,0.2,0.8095238095238095,0.23129251700680273,0.35978835978835977,0.6965194474736459,0.2324279259587773
top30_full,1,Tree,smote,0.25,0.6904761904761905,0.2196969696969697,0.3333333333333333,0.6965194474736459,0.2324279259587773
top30_full,1,Tree,smote,0.3,0.5476190476190477,0.23469387755102042,0.32857142857142857,0.6965194474736459,0.2324279259587773
top30_full,1,Tree,smote,0.35,0.5476190476190477,0.23958333333333334,0.3333333333333333,0.6965194474736459,0.2324279259587773
top30_full,1,Tree,smote,0.4,0.5,0.25609756097560976,0.3387096774193548,0.6965194474736459,0.2324279259587773
top30_full,1,Tree,smote,0.45,0.5,0.25609756097560976,0.3387096774193548,0.6965194474736459,0.2324279259587773
top30_full,1,Tree,smote,0.5,0.5,0.25609756097560976,0.3387096774193548,0.6965194474736459,0.2324279259587773
top30_full,1,RandomForest,weighted,0.2,0.9285714285714286,0.1902439024390244,0.3157894736842105,0.8181570338058888,0.4582330047081341
top30_full,1,RandomForest,weighted,0.25,0.9047619047619048,0.20652173913043478,0.336283185840708,0.8181570338058888,0.4582330047081341
top30_full,1,RandomForest,weighted,0.3,0.8809523809523809,0.22839506172839505,0.3627450980392157,0.8181570338058888,0.4582330047081341
top30_full,1,RandomForest,weighted,0.35,0.8809523809523809,0.26618705035971224,0.4088397790055249,0.8181570338058888,0.4582330047081341
